county2,1971,1981,1991,2001,2012,2012,2012,2011,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010
United States,31.1,34.6,30.0,28.6,28.2,26.8,36.4,26.5,31.6,28.9,34.4,35.3,28.9,35.3,27.2,36.1,28.2,26.8,36.4,25.0,35.5,31.6,28.9,34.4,35.3,28.9,35.3,27.2,36.1,28.2,26.8,36.4,25.0,35.5
Alabama,25.9,31.8,29.4,30.4,31.3,30.0,35.3,30.5,27.2,22.6,32.7,29.5,29.3,29.9,29.4,33.0,31.3,30.0,35.3,28.8,36.0,27.2,22.6,32.7,29.5,29.3,29.9,29.4,33.0,31.3,30.0,35.3,28.8,36.0
Alaska,37.7,38.9,28.7,27.9,27.1,25.2,30.9,28.5,42.4,30.9,40.1,36.9,26.9,31.9,25.5,32.1,27.1,25.2,30.9,26.1,33.3,42.4,30.9,40.1,36.9,26.9,31.9,25.5,32.1,27.1,25.2,30.9,26.1,33.3
Arizona,31.6,34.3,26.1,24.3,24.4,24.1,30.5,23.5,32.1,25.6,34.5,31.7,26.0,28.8,24.1,27.7,24.4,24.1,30.5,23.2,29.5,32.1,25.6,34.5,31.7,26.0,28.8,24.1,27.7,24.4,24.1,30.5,23.2,29.5
Arkansas,25.6,33.2,32.7,34.1,35.1,32.3,39.3,34.1,28.8,22.6,34.6,31.7,31.9,33.7,32.2,36.6,35.1,32.3,39.3,31.0,39.2,28.8,22.6,34.6,31.7,31.9,33.7,32.2,36.6,35.1,32.3,39.3,31.0,39.2
California,32.8,31.4,22.3,20.1,20.7,20.5,26.6,20.4,32.8,34.2,31.3,38.2,22.1,30.0,19.9,27.5,20.7,20.5,26.6,20.3,26.7,32.8,34.2,31.3,38.2,22.1,30.0,19.9,27.5,20.7,20.5,26.6,20.3,26.7
Colorado,34.4,34.6,26.5,23.2,22.4,21.6,27.2,20.6,34.9,32.3,34.4,35.6,25.7,31.1,22.4,27.8,22.4,21.6,27.2,19.6,27.3,34.9,32.3,34.4,35.6,25.7,31.1,22.4,27.8,22.4,21.6,27.2,19.6,27.3
Connecticut,31.7,34.4,29.5,28.5,27.9,27.7,30.4,26.1,31.7,32.3,34.4,35.4,29.4,30.9,28.3,31.4,27.9,27.7,30.4,25.9,29.5,31.7,32.3,34.4,35.4,29.4,30.9,28.3,31.4,27.9,27.7,30.4,25.9,29.5
Delaware,31.7,36.2,32.7,31.4,31.6,31.6,,30.4,31.7,,36.2,,32.7,,31.4,,31.6,31.6,,30.4,,31.7,,36.2,,32.7,,31.4,,31.6,31.6,,30.4,
District of Columbia,26.2,25.5,21.2,20.6,19.1,19.1,,15.5,26.2,,25.5,,21.2,,20.6,,19.1,19.1,,15.5,,26.2,,25.5,,21.2,,20.6,,19.1,19.1,,15.5,
Florida,30.7,35.0,30.1,28.7,29.8,29.6,36.6,27.9,31.0,25.9,35.1,33.8,30.0,33.0,28.4,35.1,29.8,29.6,36.6,27.5,38.8,31.0,25.9,35.1,33.8,30.0,33.0,28.4,35.1,29.8,29.6,36.6,27.5,38.8
Georgia,22.4,28.5,29.6,28.7,28.9,26.9,37.9,27.2,24.6,16.4,29.6,24.8,28.9,32.6,26.9,35.6,28.9,26.9,37.9,25.3,36.5,24.6,16.4,29.6,24.8,28.9,32.6,26.9,35.6,28.9,26.9,37.9,25.3,36.5
Hawaii,35.9,35.1,28.7,28.5,28.4,27.8,31.1,26.8,36.8,30.2,35.3,33.4,28.6,29.5,28.0,30.9,28.4,27.8,31.1,26.2,29.4,36.8,30.2,35.3,33.4,28.6,29.5,28.0,30.9,28.4,27.8,31.1,26.2,29.4
Idaho,34.6,36.5,30.4,28.5,28.0,26.7,30.3,26.5,35.0,34.0,36.4,36.7,29.1,32.3,27.1,30.8,28.0,26.7,30.3,25.2,29.3,35.0,34.0,36.4,36.7,29.1,32.3,27.1,30.8,28.0,26.7,30.3,25.2,29.3
Illinois,31.9,35.1,30.0,27.7,27.2,25.8,37.4,25.4,31.6,33.9,34.2,40.0,28.6,38.7,26.2,37.8,27.2,25.8,37.4,24.0,36.0,31.6,33.9,34.2,40.0,28.6,38.7,26.2,37.8,27.2,25.8,37.4,24.0,36.0
Indiana,36.1,41.7,38.2,37.2,35.4,33.3,42.6,33.0,35.5,37.7,40.8,44.4,36.4,43.5,34.9,44.3,35.4,33.3,42.6,30.9,40.5,35.5,37.7,40.8,44.4,36.4,43.5,34.9,44.3,35.4,33.3,42.6,30.9,40.5
Iowa,38.7,42.9,38.5,36.1,33.1,28.9,38.4,30.6,39.3,38.2,42.1,43.7,35.6,41.5,32.4,40.3,33.1,28.9,38.4,26.7,36.2,39.3,38.2,42.1,43.7,35.6,41.5,32.4,40.3,33.1,28.9,38.4,26.7,36.2
Kansas,35.8,39.2,32.8,29.8,27.8,25.4,32.5,25.7,36.0,35.5,38.4,40.2,31.1,35.5,27.7,33.5,27.8,25.4,32.5,23.3,30.9,36.0,35.5,38.4,40.2,31.1,35.5,27.7,33.5,27.8,25.4,32.5,23.3,30.9
Kentucky,24.1,31.3,31.8,33.6,34.0,31.0,38.1,32.8,28.2,19.1,34.4,27.8,32.0,31.5,31.9,35.6,34.0,31.0,38.1,28.8,38.4,28.2,19.1,34.4,27.8,32.0,31.5,31.9,35.6,34.0,31.0,38.1,28.8,38.4
Louisiana,24.7,30.9,31.7,32.4,34.3,33.2,39.5,33.1,25.6,20.8,31.4,29.1,31.2,33.9,31.6,36.1,34.3,33.2,39.5,31.6,40.9,25.6,20.8,31.4,29.1,31.2,33.9,31.6,36.1,34.3,33.2,39.5,31.6,40.9
Maine,35.1,39.3,37.1,36.2,34.2,31.5,37.9,30.9,35.4,34.8,38.8,39.9,35.2,39.5,33.9,39.2,34.2,31.5,37.9,27.5,35.7,35.4,34.8,38.8,39.9,35.2,39.5,33.9,39.2,34.2,31.5,37.9,27.5,35.7
Maryland,28.5,32.5,28.1,26.7,26.0,25.7,36.7,23.9,28.7,20.7,32.6,30.5,27.9,37.5,26.4,38.7,26.0,25.7,36.7,23.6,34.7,28.7,20.7,32.6,30.5,27.9,37.5,26.4,38.7,26.0,25.7,36.7,23.6,34.7
Massachusetts,34.9,36.4,29.7,27.3,25.9,25.9,27.5,23.2,34.8,37.9,36.4,38.4,29.7,32.2,27.2,29.6,25.9,25.9,27.5,23.1,26.2,34.8,37.9,36.4,38.4,29.7,32.2,27.2,29.6,25.9,25.9,27.5,23.1,26.2
Michigan,33.7,38.0,32.3,31.3,30.7,29.0,38.0,28.5,33.5,34.7,37.3,41.6,30.8,39.2,29.7,38.6,30.7,29.0,38.0,26.8,35.8,33.5,34.7,37.3,41.6,30.8,39.2,29.7,38.6,30.7,29.0,38.0,26.8,35.8
Minnesota,34.5,38.6,33.0,28.8,27.1,24.6,35.2,23.9,36.2,30.8,38.8,38.0,31.4,37.2,26.6,35.5,27.1,24.6,35.2,21.4,32.5,36.2,30.8,38.8,38.0,31.4,37.2,26.6,35.5,27.1,24.6,35.2,21.4,32.5
Mississippi,23.9,29.2,27.5,29.4,30.4,28.5,32.0,29.8,27.9,21.9,31.6,27.7,27.2,27.8,27.8,30.5,30.4,28.5,32.0,26.8,32.5,27.9,21.9,31.6,27.7,27.2,27.8,27.8,30.5,30.4,28.5,32.0,26.8,32.5
Missouri,30.6,36.3,33.1,32.7,31.7,28.7,40.1,30.5,31.4,28.4,36.1,36.9,31.5,37.6,30.2,39.5,31.7,28.7,40.1,27.5,39.5,31.4,28.4,36.1,36.9,31.5,37.6,30.2,39.5,31.7,28.7,40.1,27.5,39.5
Montana,34.0,38.0,33.5,31.3,30.2,29.0,30.9,27.8,34.9,33.6,37.6,38.1,32.3,34.1,30.5,31.7,30.2,29.0,30.9,26.6,28.4,34.9,33.6,37.6,38.1,32.3,34.1,30.5,31.7,30.2,29.0,30.9,26.6,28.4
Nebraska,37.2,40.6,34.7,31.3,28.7,24.8,34.9,25.6,38.2,36.3,39.5,41.8,31.4,38.9,27.7,36.3,28.7,24.8,34.9,22.4,31.5,38.2,36.3,39.5,41.8,31.4,38.9,27.7,36.3,28.7,24.8,34.9,22.4,31.5
Nevada,38.9,40.4,31.5,29.3,28.7,28.4,31.8,27.8,39.3,37.2,40.3,41.3,31.0,35.0,28.9,32.7,28.7,28.4,31.8,27.2,32.9,39.3,37.2,40.3,41.3,31.0,35.0,28.9,32.7,28.7,28.4,31.8,27.2,32.9
New Hampshire,34.4,37.2,31.7,30.1,29.3,27.8,31.6,27.3,34.4,34.5,37.2,37.2,30.1,34.2,28.3,32.9,29.3,27.8,31.6,25.6,30.2,34.4,34.5,37.2,37.2,30.1,34.2,28.3,32.9,29.3,27.8,31.6,25.6,30.2
New Jersey,31.8,35.9,31.1,29.4,29.2,29.2,,26.4,31.8,,35.9,,31.1,,29.4,,29.2,29.2,,26.4,,31.8,,35.9,,31.1,,29.4,,29.2,29.2,,26.4,
New Mexico,30.0,34.1,28.7,26.6,26.4,24.7,29.6,26.0,31.3,28.4,33.9,34.5,27.7,30.4,25.2,29.0,26.4,24.7,29.6,23.8,30.7,31.3,28.4,33.9,34.5,27.7,30.4,25.2,29.0,26.4,24.7,29.6,23.8,30.7
New York,31.2,34.1,29.5,27.8,27.3,26.5,37.0,25.2,31.1,33.0,33.7,38.0,28.9,36.7,27.0,37.1,27.3,26.5,37.0,24.5,35.4,31.1,33.0,33.7,38.0,28.9,36.7,27.0,37.1,27.3,26.5,37.0,24.5,35.4
North Carolina,21.7,27.8,29.0,28.4,27.2,25.8,31.8,25.2,22.6,19.4,28.3,26.6,28.5,30.4,27.2,32.2,27.2,25.8,31.8,23.7,31.0,22.6,19.4,28.3,26.6,28.5,30.4,27.2,32.2,27.2,25.8,31.8,23.7,31.0
North Dakota,27.6,31.3,28.0,27.9,27.2,23.3,30.8,26.1,29.8,26.6,31.6,31.1,25.7,29.6,24.4,30.5,27.2,23.3,30.8,21.3,30.8,29.8,26.6,31.6,31.1,25.7,29.6,24.4,30.5,27.2,23.3,30.8,21.3,30.8
Ohio,35.3,40.5,36.3,36.1,34.9,32.5,44.3,32.6,34.6,37.8,39.4,44.6,34.4,43.8,33.7,45.3,34.9,32.5,44.3,30.2,42.3,34.6,37.8,39.4,44.6,34.4,43.8,33.7,45.3,34.9,32.5,44.3,30.2,42.3
Oklahoma,30.0,34.8,30.5,31.5,31.7,29.2,36.2,30.8,32.2,27.3,35.7,33.4,29.2,32.4,29.4,35.0,31.7,29.2,36.2,28.1,36.3,32.2,27.3,35.7,33.4,29.2,32.4,29.4,35.0,31.7,29.2,36.2,28.1,36.3
Oregon,35.0,37.1,28.9,26.3,24.8,23.4,31.3,22.5,35.0,35.0,36.2,40.5,27.6,34.3,24.9,32.3,24.8,23.4,31.3,21.0,29.8,35.0,35.0,36.2,40.5,27.6,34.3,24.9,32.3,24.8,23.4,31.3,21.0,29.8
Pennsylvania,34.5,40.4,38.6,38.1,37.2,35.7,48.2,33.8,34.1,36.9,39.8,44.3,37.4,46.7,36.7,48.2,37.2,35.7,48.2,32.1,46.7,34.1,36.9,39.8,44.3,37.4,46.7,36.7,48.2,37.2,35.7,48.2,32.1,46.7
Rhode Island,29.0,32.8,29.5,27.8,27.5,27.5,,27.9,29.0,,32.8,,29.5,,27.8,,27.5,27.5,,27.9,,29.0,,32.8,,29.5,,27.8,,27.5,27.5,,27.9,
South Carolina,20.6,27.1,29.5,30.0,30.3,29.2,35.9,28.7,21.9,16.0,27.6,24.8,29.1,31.0,29.1,33.6,30.3,29.2,35.9,27.5,35.7,21.9,16.0,27.6,24.8,29.1,31.0,29.1,33.6,30.3,29.2,35.9,27.5,35.7
South Dakota,31.2,36.3,33.7,32.9,31.9,29.2,34.2,30.1,35.9,29.0,38.7,34.9,33.6,33.7,31.1,34.2,31.9,29.2,34.2,27.0,33.3,35.9,29.0,38.7,34.9,33.6,33.7,31.1,34.2,31.9,29.2,34.2,27.0,33.3
Tennessee,25.7,31.7,30.0,31.6,33.0,30.4,41.1,31.6,27.4,20.9,32.4,29.7,29.2,32.4,29.6,37.5,33.0,30.4,41.1,28.6,41.6,27.4,20.9,32.4,29.7,29.2,32.4,29.6,37.5,33.0,30.4,41.1,28.6,41.6
Texas,25.1,28.8,25.6,24.8,25.3,24.2,33.1,24.5,25.9,21.7,29.2,27.0,24.9,29.5,23.7,31.6,25.3,24.2,33.1,23.4,33.5,25.9,21.7,29.2,27.0,24.9,29.5,23.7,31.6,25.3,24.2,33.1,23.4,33.5
Utah,35.9,36.0,27.2,24.6,23.9,23.3,28.5,22.7,36.1,34.0,35.7,37.8,26.5,32.5,24.0,28.7,23.9,23.3,28.5,22.1,27.3,36.1,34.0,35.7,37.8,26.5,32.5,24.0,28.7,23.9,23.3,28.5,22.1,27.3
Vermont,33.0,36.4,34.6,32.4,31.2,26.6,33.4,28.0,31.5,33.5,35.2,36.8,31.3,36.0,28.0,34.4,31.2,26.6,33.4,22.9,30.5,31.5,33.5,35.2,36.8,31.3,36.0,28.0,34.4,31.2,26.6,33.4,22.9,30.5
Virginia,25.2,28.4,26.6,26.0,25.2,23.6,35.1,23.8,26.9,18.5,29.3,24.6,26.0,29.8,24.7,33.1,25.2,23.6,35.1,22.0,36.3,26.9,18.5,29.3,24.6,26.0,29.8,24.7,33.1,25.2,23.6,35.1,22.0,36.3
Washington,36.2,37.4,27.9,24.9,23.6,23.0,28.5,21.8,36.4,35.3,37.1,39.0,27.4,32.1,24.4,29.2,23.6,23.0,28.5,21.2,26.9,36.4,35.3,37.1,39.0,27.4,32.1,24.4,29.2,23.6,23.0,28.5,21.2,26.9
West Virginia,27.6,35.6,36.6,39.4,40.9,39.0,43.9,40.1,29.2,25.2,36.4,34.4,36.2,37.2,38.3,41.0,40.9,39.0,43.9,37.1,44.9,29.2,25.2,36.4,34.4,36.2,37.2,38.3,41.0,40.9,39.0,43.9,37.1,44.9
Wisconsin,34.8,40.4,37.1,34.6,33.1,30.6,39.8,30.0,35.6,32.8,40.2,40.9,35.5,41.3,32.2,40.7,33.1,30.6,39.8,27.6,36.6,35.6,32.8,40.2,40.9,35.5,41.3,32.2,40.7,33.1,30.6,39.8,27.6,36.6
Wyoming,36.2,40.0,33.2,31.0,30.5,28.9,31.3,28.4,38.0,35.4,39.8,40.1,29.9,34.5,28.3,32.1,30.5,28.9,31.3,26.5,29.3,38.0,35.4,39.8,40.1,29.9,34.5,28.3,32.1,30.5,28.9,31.3,26.5,29.3
Puerto Rico,,,,22.3,25.7,25.5,30.3,28.0,,,,,,,22.1,25.8,25.7,25.5,30.3,27.6,37.6,,,,,,,22.1,25.8,25.7,25.5,30.3,27.6,37.6
